Name  Ra  Dec  J  eJ  H   eH   K  eK
GJ3076      17.85587  15.43942 9.082 0.026 8.512 0.036 8.208 0.033
Gl277      112.99049  36.21939 6.771 0.019 6.179 0.024 5.927 0.017
Gl31.2      11.15479 -18.94672 7.984 0.027 7.323 0.018 7.124 0.021
GJ2079     153.57993  21.07490 7.074 0.023 6.448 0.020 6.261 0.023
LP636-19   313.31105  -2.35607 9.329 0.023 8.708 0.023 8.446 0.023
Gl791.2    307.45135   9.68894 8.228 0.020 7.666 0.036 7.307 0.024
GJ352      142.83087 -13.48871 6.361 0.020 5.755 0.029 5.511 0.020
HD238224   200.84707  57.90615 7.172 0.018 6.571 0.020 6.421 0.017
Wolf1561   334.32900  -8.80342 9.024 0.023 8.487 0.061 8.167 0.031
Gl660      257.96772  -1.85176 7.462 0.024 6.917 0.027 6.656 0.021
LHS1976    120.831306 52.84401 8.059 0.021 7.483 0.034 7.239 0.021
LHS6167    138.901688 -10.5964 8.605 0.027 8.074 0.040 7.733 0.017
Gl792      307.85684  38.56231 9.193 0.021 8.627 0.021 8.358 0.016
PMJ02133+3648 33.335949	36.814098 9.367 0.022 8.825 0.021 8.518 0.018
GJ340      139.472678 28.560677 5.382 0.029 4.893 0.023 4.767 0.017
GJ508      199.940221 47.77804 5.338 0.026 4.721 0.018 4.494 0.018
GJ4024     265.753296 5.789337 7.441 0.018 6.803 0.034 6.631 0.018
HIP46706   142.830872 -13.48871 6.361 0.020 5.755 0.029 5.511 0.02
Gl268.3    109.082405 27.142527 7.013 0.026 6.436 0.027 6.187 0.023
LP349-25	   6.983025	  22.325789	10.614	 0.022	 9.967	 0.023	 9.569	 0.017
SD0423-04	  65.952446	  -4.234311	14.465	 0.027	13.463	 0.035	12.929	 0.034
2M0700+31	 105.152679	  31.957414	12.923	 0.023	11.947	 0.016	11.317	 0.023
2M0746+20	 116.677342	  20.008939	11.759	 0.020	11.007	 0.022	10.468	 0.022
2M0850+10	 132.649725	  10.954339	16.465	 0.113	15.221	 0.093	14.473	 0.066
2M0920+35	 140.051000	  35.295278	15.625	 0.063	14.673	 0.057	13.979	 0.061
SD0926+58	 141.564075	  58.789231	15.897	 0.065	15.307	 0.095	15.450	 0.186
2M1017+13	 154.281421	  13.144411	14.096	 0.024	13.284	 0.027	12.710	 0.023
SD1021-03	 155.290375	  -3.072167	16.253	 0.091	15.346	 0.101	15.223   0.029 ## Dupu16
2M1047+40	 161.807583	  40.447028	12.436	 0.022	11.696	 0.019	11.254	 0.018
SD1052+44	 163.056271	  44.382197	15.958	 0.098	15.161	 0.098	14.461   0.029 ## Chiu06
GL417B	 168.134793	  35.814080	 14.584 0.033 13.499 0.032 12.721 0.028
LHS2397a	 170.455200	 -13.219000	11.928	 0.021	11.233	 0.025	10.735	 0.023
DE1228-15	 187.063467	 -15.792842	14.378	 0.030	13.347	 0.032	12.767	 0.030
2M2252-17	 343.044725	 -17.503739	14.313	 0.029	13.360	 0.030	12.901	 0.024
KELU-1	 196.417483	 -25.684997	13.414	 0.026	12.392	 0.025	11.747	 0.023
2M1404-31	 211.206183	 -31.992517	15.577	 0.063	14.955	 0.067	14.538	 0.095
2M1534-29	 233.707667	 -29.874278	14.900	 0.054	14.866	 0.102	14.791   0.030 ## Dupu16, Knap04, Liu08
2M1728+39	 262.047921	  39.816475	15.988	 0.076	14.756	 0.066	13.909	 0.048
LS1735+26	 263.804037	  26.579872	11.252	 0.026	10.591	 0.031	10.157	 0.020
2M1750+44	 267.553808	  44.401200	12.799	 0.023	12.163	 0.021	11.768	 0.017
2M1847+55	 281.764271	  55.378703	11.920	 0.021	11.276	 0.019	10.901	 0.020
2M2132+13	 323.047725	  13.699558	15.795	 0.062	14.604	 0.055	13.839	 0.058
2M2140+16	 325.122158	  16.421758	12.940	 0.033	12.266	 0.040	11.826	 0.031
2M2206-20	 331.595008	 -20.784972	12.370	 0.022	11.684	 0.022	11.315	 0.027
SD2052-16	 313.147125	 -16.158278	16.334	 0.118	15.414	 0.115	14.981   0.028 ## Chiu06
LHS1901	 107.797417	  43.499722	 9.979	 0.018	 9.467	 0.016	 9.126	 0.018
GL569B	 223.622333	  16.102472	10.802   0.061 10.106   0.040 9.650   0.030 ## Dupu10
LP415-20	  65.454167	  19.486111	12.715   0.024  12.072   0.022  11.668   0.020 ## Dupu16
HD130948B	 222.565878	  23.911845	13.263   0.081  12.368   0.150  11.713   0.040 ## Dupuy09b,c,Dupuy16
SD1534+16	 233.571292	  16.262889	16.753	 0.133	16.078	 0.159	15.992   0.029 ## Chiu06 
LSPMJ1314+1320 198.584973 +13.333663 9.754	0.022	9.175	0.032	8.794	0.018
